Brand,Website,Country,Category,Active Meta ads,Video ads,New ads last 30d,Other paid channels,SKUs,Employees,Monthly visits,Amazon reviews (hero),Shopify Plus,Growth signals,Pays for creative,Creative gap,Video sourcing,Trigger event,DM name,DM title,DM LinkedIn,DM active 90d,2nd contact + email,Gatekeeper,Disqualified reason,Creative style,Suggested product (deep link),Product photo check,A Need /40,B Afford /25,C Fit /20,D Access /15,SCORE,Tier,PRIORITY,Priority Number
Rootine,rootine.co,US,Personalised vitamins,2,0,0,0,8,15,,,,0,N,0,Unknown,N,,,,Not found,N,N,No Meta ads in last 90 days (last creator ads Jul 2025),,,,8,8,0,3,0,Disqualified,Skip,6
Elm & Rye,elmandrye.com,US,Multi,0,0,0,0,20,15,,,,0,N,0,Unknown,N,,,,Not found,N,N,No Meta ads in last 90 days,,,,5,8,0,3,0,Disqualified,Skip,6
Sunwink,sunwink.com,US,Superfood powders,0,0,0,0,10,15,,,,0,N,0,Unknown,N,,,,Not found,N,N,No Meta ads in last 90 days,,,,5,8,0,3,0,Disqualified,Skip,6
Live Conscious,liveconscious.com,US,Collagen/multi,0,0,0,0,30,30,,,,0,N,0,Unknown,N,,,,Not found,N,N,No Meta ads found under this name (may run under another page); recheck,,,,5,8,0,3,0,Disqualified,Skip,6
Hilma,hilma.co,US,Natural remedies,3,0,0,0,10,20,,,,0,N,0,Unknown,N,,,,Not found,N,N,,,,,10,8,0,3,21,Park,Unlikely,5
Omni Creatine,omnicreatine.com,US,Creatine gummies,1500,1200,3,1,11,15,,,,1,Y,4,UGC creators,N,Not found,,,Not found,N,N,,Video-led,https://omnicreatine.com/products/omni-creatine-gummy-2,Pass (18) filenames,35,15,10,3,63,B,Possible,3
Crave Creatine,trycrave.com,US,Creatine gummies,530,500,0,1,2,8,,,,0,N,4,In-house,N,Not found,,,Not found,N,N,,Video-led,https://trycrave.com/products/crave-creatine-gummies,Pass (18) filenames,26,5,4,3,38,Park,Unlikely,5
Rho Nutrition,rhonutrition.com,US,Liposomal supplements,1500,1200,4,2,23,20,,,,2,Y,4,UGC creators,Y,Ryan Bishop,CEO & Co-founder,linkedin.com/in/ryan-bishop-6b7a8214b,Y,N,N,,Video-led,https://rhonutrition.com/products/tongkat-ali,Weak pass (3) filenames,37,17,16,11,81,A,Must target,1
Cowboy Colostrum,cowboycolostrum.com,US,Colostrum,300,250,6,2,21,20,,,,2,Y,4,UGC creators,Y,Jessy Shenfeld,Co-founder & CEO,linkedin.com/in/jessy-shenfeld-917525136,Y,Y,N,,Video-led,https://cowboycolostrum.com/products/cookies-cream-colostrum,Pass (8) filenames,40,17,16,15,88,A,Must target,1
Avantera,avanterahealth.com,US,Nootropics,380,300,0,1,31,15,,,,0,Y,4,UGC creators,N,Kristen Louelle Gaffney,Founder,linkedin.com/company/avantera-health,N,N,N,,Video-led,https://avanterahealth.com/products/elevate,Pass (5) filenames,31,13,10,7,61,B,Possible,3
Nello,drinknello.com,US,"Calm drink (ashwagandha, magnesium)",250,200,2,2,9,25,,,,2,N,4,In-house,Y,Not found,,,Not found,N,N,,Video-led,https://drinknello.com/products/supercalm-kp-redesign-4ct,Pass (16) filenames,35,12,10,3,60,B,Possible,3
We Heart Nutrition,weheartnutrition.com,US,Prenatal / magnesium,440,380,0,1,25,10,,,,0,Y,4,UGC creators,N,Jacob Willis,Co-founder / Owner,linkedin.com/in/weheart,N,N,N,,Video-led,https://weheartnutrition.com/products/wholesome-magnesium-glycinate,Pass (8) filenames,31,10,10,7,58,B,Possible,3
Nuora,mynuora.com,US,Women's probiotics / gut,1000,950,3,2,16,15,,,,1,Y,4,UGC creators,N,Not found,,,Not found,N,N,,Video-led,https://mynuora.com/products/feminine-balance-gummies-1,Pass (8) filenames,37,15,10,3,65,B,Strong,2
Instant Hydration,instanthydration.com,US,Electrolytes,570,500,2,2,13,12,,,,1,Y,4,UGC creators,N,Zachary Gordan,Co-founder,linkedin.com/in/zachary-gordan-20b368b1,N,N,N,,Video-led,https://instanthydration.com/products/premium-electrolyte-drink-mix,Pass (13) filenames,37,15,10,7,69,B,Strong,2
Rejuvia,rejuvia.co,US,Oral spray supplements,290,250,1,1,5,10,,,,1,N,4,In-house,N,RC Williams,Founder,,N,N,N,,Video-led,https://rejuvia.co/products/sleep-spray,Pass (4) filenames,33,7,4,7,51,Park,Later,4
BATCH,hellobatch.com,US,CBD / functional gummies,700,600,2,1,27,30,,,,1,N,4,In-house,N,Not found,,,Not found,N,N,,Video-led,https://hellobatch.com/products/nt-gummies-fb,Pass (6) filenames,35,10,4,3,52,Park,Later,4
Novali Health,novalihealthwellness.com,US,Kids detox gummies,310,280,0,2,16,8,,,,0,N,4,In-house,N,Not found,,,Not found,N,N,,Video-led,https://novalihealthwellness.com/products/kidsdetoxgummies-freeshipping,Pass (5) unverified,33,5,4,3,45,Park,Later,4
Create,trycreate.co,US,Creatine gummies,630,550,8,2,16,40,,,,3,Y,4,UGC creators,Y,Dan McCormick,CEO,linkedin.com/company/trycreate,Y,N,N,,Video-led,https://trycreate.co/products/ads-creatine-monohydrate-gummies,Pass (18) filenames,40,18,16,11,85,A,Must target,1
Cure Hydration,curehydration.com,US,Hydration,50,40,0,2,47,35,,,,1,N,4,In-house,N,Lauren Picasso,Founder & CEO,linkedin.com/in/laurenpicasso,Y,N,N,,Video-led,https://curehydration.com/products/tropical-variety-pack,Pass (6) unverified,33,10,4,11,58,B,Possible,3
Ultima Replenisher,ultimareplenisher.com,US,Electrolytes,170,120,1,2,23,40,,,,0,N,4,In-house,N,Not found,,,Not found,N,N,,Mixed,https://ultimareplenisher.com/products/passion-fruit-electrolyte-powder-drink,Pass (14) filenames,37,8,4,3,52,Park,Later,4
Kaged,kaged.com,US,Sports nutrition,410,200,0,2,40,60,,,,0,N,8,In-house,N,Not found,,,Not found,N,N,,Mixed,https://kaged.com/products/hydra-charge-30sv,Pass (22) filenames,29,5,8,3,45,Park,Later,4
Tasty Gains,tastygains.com,US,Creatine gummies,390,350,0,2,16,6,,,,1,N,4,In-house,Y,Not found,,,Not found,N,N,,Video-led,https://tastygains.com/products/creatine-gummies,Weak pass (3) filenames,33,7,10,3,53,Park,Later,4
Primal Queen,primalqueen.com,US,Beef organ (women),1400,1300,1,2,10,15,,,,1,Y,4,UGC creators,N,Abdurahim Shodmonov,Co-founder,linkedin.com/in/abdurahim-shodmonov-a60a2b164,N,Y,N,,Video-led,https://primalqueen.com/products/marrow-three-month,Pass (14) filenames,37,15,10,11,73,B,Strong,2
Ancestral Supplements,ancestralsupplements.com,US,Beef organ,300,200,2,2,20,45,,,,0,Y,4,UGC creators,N,Brian Johnson,Founder,linkedin.com/company/ancestral-supplements,N,N,N,,Video-led,https://ancestralsupplements.com/products/grassfed-beef-liver-supplement-1,Pass (6) filenames,37,13,10,7,67,B,Strong,2
Arctic Goddess,arcticgoddess.com,US,Women's hormone supplement,1800,900,0,1,1,8,,,,0,N,8,In-house,N,Not found,,,Not found,N,N,,Mixed,https://arcticgoddess.com/products/arctic-goddess,Pass (6) filenames,22,5,8,3,38,Park,Unlikely,5
Menerals,menerals.com,US,Men's minerals,690,600,0,1,1,5,,,,1,N,4,In-house,Y,Not found,,,Not found,N,N,,Video-led,https://menerals.com/products/menerals-30-day-supply-1,FAIL (2),26,7,10,3,46,Park,Later,4
RONE Nutrition,ronenutrition.com,US,Energy honey,720,650,1,1,6,8,,,,1,N,4,In-house,N,Not found,,,Not found,N,N,,Video-led,https://ronenutrition.com/products/hb-4,Pass (9) filenames,33,7,4,3,47,Park,Later,4
Feel Goods,feelgoods.co,US,Gut / hydration drink mixes,420,380,3,2,18,25,,,,2,N,4,In-house,N,Brian Wong,Co-founder,linkedin.com/company/feelgoods,N,N,N,,Video-led,https://feelgoods.co/products/digestion-varietypack,Pass unverified,37,12,4,7,60,B,Possible,3
Fernes,fernes.com,US,Colostrum,14,10,0,1,9,6,,,,0,N,4,In-house,N,Not found,,,Not found,N,N,,Mixed,https://fernes.com/products/bovine-colostrum-56-servings,Pass (5) filenames,24,5,4,3,36,Park,Unlikely,5
Neurolyfe,shopneurolyfe.com,US,Sleep gummies,410,300,0,2,2,5,,,,0,N,4,In-house,N,Not found,,,Not found,N,N,,Mixed,https://shopneurolyfe.com/products/sleep-well-gummies-adult,Weak pass (3) filenames,28,5,4,3,40,Park,Unlikely,5
Organics Ocean,organicsocean.com,US,Magnesium / D3,77,60,0,2,16,8,,,,0,N,4,In-house,N,Daniel G.,Founder,linkedin.com/in/oceandaniel,N,N,N,,Video-led,https://organicsocean.com/products/magnesium-glycinate-exclusive-black-friday-deal,Pass (6) filenames,33,5,4,7,49,Park,Later,4
Silver Fern Brand,silverfernbrand.com,US,Gut health,700,500,0,2,30,25,,,,0,N,4,In-house,N,Not found,,,Not found,N,N,,Video-led,https://www.silverfernbrand.com/products/womens-whole-food-multivitamin,Weak pass (3) unverified,33,8,4,3,48,Park,Later,4
Lymphoria,lymphoria.co,US,Lymphatic drops,3200,3000,5,2,5,10,,,,1,N,4,In-house,N,Not found,,,Not found,N,N,,Video-led,https://lymphoria.co/products/lymphoria-wellness-drops-1,Pass (6) unverified,35,7,4,3,49,Park,Later,4
Arq8,arq-8.com,US,Nano creatine,30,25,0,1,15,10,,,,1,N,0,In-house,Y,Not found,,,Not found,N,N,,Video-led,https://arq-8.com/products/arq8-creatine-monohydrate-gummies,Pass (26) filenames,31,7,6,3,47,Park,Later,4
Cata-Kor,trycatakor.com,US,NMN / longevity,170,150,0,2,5,5,,,,0,Y,4,UGC creators,N,Not found,,,Not found,N,N,,Video-led,https://www.amazon.com/s?k=cata-kor+nmn,Unverified (Amazon),31,10,10,3,54,Park,Later,4
Ora Organic,oraorganic.com,US,Plant protein / probiotics,150,100,0,2,30,25,,,,1,N,4,In-house,Y,Ron Chang,Co-founder,linkedin.com/company/ora-organic,N,N,N,,Video-led,https://ora.organic/products/organic-protein-powder,Unverified (custom site),33,10,10,7,60,B,Possible,3
AllFemme,allfemme.com,US,Women's probiotics,340,300,0,1,3,8,,,,0,Y,4,UGC creators,N,Not found,,,Not found,N,N,,Video-led,https://allfeams.com/products/flora,Pass (5) unverified,29,10,10,3,52,Park,Later,4
Eniva Health,eniva.com,US,Liquid vitamins,37,30,0,1,50,30,,,,0,N,8,In-house,N,Not found,,,Not found,N,N,,Mixed,https://eniva.com/vibe-daily-multi-vitamins/,Unverified (custom site),31,8,8,3,50,Park,Later,4
Skinesa,skinesa.com,US,Skin probiotic,80,70,0,2,16,8,,,,0,N,8,In-house,N,Eric Koepp,Founder,linkedin.com/company/skinesa,N,N,N,,Video-led,https://www.skinesa.com/products/skinesa-skin-probiotic,FAIL / weak,33,5,8,7,53,Park,Later,4
HappySupp,happysupp.com,US,Men's multivitamin,110,90,0,2,10,6,,,,0,N,8,In-house,N,Not found,,,Not found,N,N,,Video-led,https://happysupp.com/products/mens-multi,Pass (7) unverified,33,5,8,3,49,Park,Later,4
Four Sigmatic,foursigmatic.com,US,Mushroom coffee,27,15,0,2,40,50,,,,0,N,8,In-house,N,Not found,,,Not found,N,N,,Mixed,https://us.foursigmatic.com/products/focus-ground-coffee-dark-roast,Pass (4) filenames,28,8,8,3,47,Park,Later,4
Makks Health,makks.com,US,Black seed gummies,29,25,0,2,8,5,,,,0,Y,4,UGC creators,N,Not found,,,Not found,N,N,,Video-led,https://www.makks.com/products/black-seed-gummies-extra-strength,FAIL (2),26,10,10,3,49,Park,Later,4
Sovereign Laboratories,sovereignlaboratories.com,US,Colostrum,9,5,0,2,15,15,,,,0,N,8,In-house,N,Not found,,,Not found,N,N,,Video-led,https://www.sovereignlaboratories.com/product/colostrum-ld-powder-4oz.html,Unverified (custom site),23,8,8,3,42,Park,Unlikely,5
Pioneer Pam Goods,pioneerpam.com,US,Herbal tinctures,11,5,0,1,30,4,,,,0,N,8,In-house,N,Pam,Founder (nurse),,N,N,N,,Static,https://pioneerpam.com/products/naturesglp,Weak pass (3) filenames,22,5,8,7,42,Park,Unlikely,5
Nutrova,nutrova.com,US,Collagen,6,4,1,1,10,15,,,,0,N,4,In-house,N,,,,Not found,N,N,"Not US (Mumbai, India)",,,,25,8,4,3,0,Disqualified,Skip,6
MuscleMax Nutrition,officialmusclemax.com,US,Shilajit / T support,300,280,0,1,17,10,,,,0,N,4,In-house,N,,,,Not found,N,N,Not US (Australian store per products feed),,,,31,5,4,3,0,Disqualified,Skip,6
TryAlveta / Pure Rhythm,alvetashoponline.com,US,Magnesium complex,700,650,0,1,9,8,,,,0,N,4,In-house,N,,,,Not found,N,N,Verify country (EU transparency flag on ads); likely EU-based,,,,29,5,4,3,0,Disqualified,Skip,6
Nutral,trynutral.com,US,Berberine liquid,4,4,0,1,5,5,,,,0,N,4,In-house,N,,,,Not found,N,N,Under 10 ads and EU transparency flag,,,,19,5,4,3,0,Disqualified,Skip,6
Micro Ingredients,microingredients.com,US,Bulk supplements,800,600,2,2,300,250,,,,0,Y,4,UGC creators,N,,,,Not found,N,N,"Too large (200+ staff, major Amazon brand)",,,,37,5,10,3,0,Disqualified,Skip,6
Beli,belibaby.com,US,Prenatal,2,0,0,1,8,20,,,,0,N,0,Unknown,N,,,,Not found,N,N,No meaningful Meta ads (2 active),,,,11,8,0,3,0,Disqualified,Skip,6
