Business type,Location,Area,Priority,Site Pounce search term,Who,Status,Leads found,Notes
Nail bars,Wolverhampton,New,Target,nail salon in Wolverhampton,,To do,,
Tanning salons,Bradford,New,Target,tanning salon in Bradford,,To do,,
Tanning salons,Bristol,New,Target,tanning salon in Bristol,,To do,,
Tanning salons,Coventry,New,Target,tanning salon in Coventry,,To do,,
Tanning salons,Croydon,New,Target,tanning salon in Croydon,,To do,,
Tanning salons,Derby,New,Target,tanning salon in Derby,,To do,,
Tanning salons,Enfield,New,Target,tanning salon in Enfield,,To do,,
Tanning salons,Harrow,New,Target,tanning salon in Harrow,,To do,,
Tanning salons,Leeds,New,Target,tanning salon in Leeds,,To do,,
Tanning salons,Leicester,New,Target,tanning salon in Leicester,,To do,,
Tanning salons,Luton,New,Target,tanning salon in Luton,,To do,,
Tanning salons,Manchester,New,Target,tanning salon in Manchester,,To do,,
Tanning salons,Nottingham,New,Target,tanning salon in Nottingham,,To do,,
Tanning salons,Peckham,New,Target,tanning salon in Peckham,,To do,,
Tanning salons,Sheffield,New,Target,tanning salon in Sheffield,,To do,,
Tanning salons,Slough,New,Target,tanning salon in Slough,,To do,,
Tanning salons,Wolverhampton,New,Target,tanning salon in Wolverhampton,,To do,,
Builders (small batch only),Ilford,Proven,Test,builder in Ilford,,To do,,"Cap 100, do NOT mass-send"
Builders (small batch only),Smethwick,Proven,Test,builder in Smethwick,,To do,,"Cap 100, do NOT mass-send"
Builders (small batch only),Solihull,Proven,Test,builder in Solihull,,To do,,"Cap 100, do NOT mass-send"
Builders (small batch only),Southall,Proven,Test,builder in Southall,,To do,,"Cap 100, do NOT mass-send"
Cafes,Ilford,Proven,Test,cafe in Ilford,,To do,,
Cafes,Smethwick,Proven,Test,cafe in Smethwick,,To do,,
Cafes,Solihull,Proven,Test,cafe in Solihull,,To do,,
Cafes,Southall,Proven,Test,cafe in Southall,,To do,,
Cake makers / home bakers,Ilford,Proven,Test,cake maker in Ilford,,To do,,
Cake makers / home bakers,Smethwick,Proven,Test,cake maker in Smethwick,,To do,,
Cake makers / home bakers,Solihull,Proven,Test,cake maker in Solihull,,To do,,
Cake makers / home bakers,Southall,Proven,Test,cake maker in Southall,,To do,,
Dog groomers,Ilford,Proven,Test,dog groomer in Ilford,,To do,,
Dog groomers,Smethwick,Proven,Test,dog groomer in Smethwick,,To do,,
Dog groomers,Solihull,Proven,Test,dog groomer in Solihull,,To do,,
Dog groomers,Southall,Proven,Test,dog groomer in Southall,,To do,,
Florists,Ilford,Proven,Test,florist in Ilford,,To do,,
Florists,Smethwick,Proven,Test,florist in Smethwick,,To do,,
Florists,Solihull,Proven,Test,florist in Solihull,,To do,,
Florists,Southall,Proven,Test,florist in Southall,,To do,,
Mobile car valeting,Ilford,Proven,Test,car valeting in Ilford,,To do,,
Mobile car valeting,Smethwick,Proven,Test,car valeting in Smethwick,,To do,,
Mobile car valeting,Solihull,Proven,Test,car valeting in Solihull,,To do,,
Mobile car valeting,Southall,Proven,Test,car valeting in Southall,,To do,,
Party & event decor,Ilford,Proven,Test,party decorations in Ilford,,To do,,
Party & event decor,Smethwick,Proven,Test,party decorations in Smethwick,,To do,,
Party & event decor,Solihull,Proven,Test,party decorations in Solihull,,To do,,
Party & event decor,Southall,Proven,Test,party decorations in Southall,,To do,,
Personal trainers / PT studios,Ilford,Proven,Test,personal trainer in Ilford,,To do,,
Personal trainers / PT studios,Smethwick,Proven,Test,personal trainer in Smethwick,,To do,,
Personal trainers / PT studios,Solihull,Proven,Test,personal trainer in Solihull,,To do,,
Personal trainers / PT studios,Southall,Proven,Test,personal trainer in Southall,,To do,,
Restaurants,Ilford,Proven,Test,restaurant in Ilford,,To do,,
Restaurants,Smethwick,Proven,Test,restaurant in Smethwick,,To do,,
Restaurants,Solihull,Proven,Test,restaurant in Solihull,,To do,,
Restaurants,Southall,Proven,Test,restaurant in Southall,,To do,,
Takeaways,Ilford,Proven,Test,takeaway in Ilford,,To do,,
Takeaways,Smethwick,Proven,Test,takeaway in Smethwick,,To do,,
Takeaways,Solihull,Proven,Test,takeaway in Solihull,,To do,,
Takeaways,Southall,Proven,Test,takeaway in Southall,,To do,,
Tattoo / piercing studios,Ilford,Proven,Test,tattoo studio in Ilford,,To do,,
Tattoo / piercing studios,Smethwick,Proven,Test,tattoo studio in Smethwick,,To do,,
Tattoo / piercing studios,Solihull,Proven,Test,tattoo studio in Solihull,,To do,,
Tattoo / piercing studios,Southall,Proven,Test,tattoo studio in Southall,,To do,,
Builders (small batch only),Croydon,New,Test,builder in Croydon,,To do,,"Cap 100, do NOT mass-send"
Builders (small batch only),Leicester,New,Test,builder in Leicester,,To do,,"Cap 100, do NOT mass-send"
Builders (small batch only),Manchester,New,Test,builder in Manchester,,To do,,"Cap 100, do NOT mass-send"
Cafes,Croydon,New,Test,cafe in Croydon,,To do,,
Cafes,Leicester,New,Test,cafe in Leicester,,To do,,
Cafes,Manchester,New,Test,cafe in Manchester,,To do,,
Cake makers / home bakers,Croydon,New,Test,cake maker in Croydon,,To do,,
Cake makers / home bakers,Leicester,New,Test,cake maker in Leicester,,To do,,
Cake makers / home bakers,Manchester,New,Test,cake maker in Manchester,,To do,,
Dog groomers,Croydon,New,Test,dog groomer in Croydon,,To do,,
Dog groomers,Leicester,New,Test,dog groomer in Leicester,,To do,,
Dog groomers,Manchester,New,Test,dog groomer in Manchester,,To do,,
Florists,Croydon,New,Test,florist in Croydon,,To do,,
Florists,Leicester,New,Test,florist in Leicester,,To do,,
Florists,Manchester,New,Test,florist in Manchester,,To do,,
Mobile car valeting,Croydon,New,Test,car valeting in Croydon,,To do,,
Mobile car valeting,Leicester,New,Test,car valeting in Leicester,,To do,,
Mobile car valeting,Manchester,New,Test,car valeting in Manchester,,To do,,
Party & event decor,Croydon,New,Test,party decorations in Croydon,,To do,,
Party & event decor,Leicester,New,Test,party decorations in Leicester,,To do,,
Party & event decor,Manchester,New,Test,party decorations in Manchester,,To do,,
Personal trainers / PT studios,Croydon,New,Test,personal trainer in Croydon,,To do,,
Personal trainers / PT studios,Leicester,New,Test,personal trainer in Leicester,,To do,,
Personal trainers / PT studios,Manchester,New,Test,personal trainer in Manchester,,To do,,
Restaurants,Croydon,New,Test,restaurant in Croydon,,To do,,
Restaurants,Leicester,New,Test,restaurant in Leicester,,To do,,
Restaurants,Manchester,New,Test,restaurant in Manchester,,To do,,
Takeaways,Croydon,New,Test,takeaway in Croydon,,To do,,
Takeaways,Leicester,New,Test,takeaway in Leicester,,To do,,
Takeaways,Manchester,New,Test,takeaway in Manchester,,To do,,
Tattoo / piercing studios,Croydon,New,Test,tattoo studio in Croydon,,To do,,
Tattoo / piercing studios,Leicester,New,Test,tattoo studio in Leicester,,To do,,
Tattoo / piercing studios,Manchester,New,Test,tattoo studio in Manchester,,To do,,
